no;code;nom;surf;long;lat;alt;nbcom;biogeo;activplus;activmoins
1;1776;Vallée de la Doller;1155;7.22;47.74;280;9;Continentale;3;5
2;1781;Massif du Donon, du Schneeberg et du Grossmann;3151;7.26;48.53;700;10;Continentale;7;4
3;1782;Champ du Feu;169;7.26;48.4;1030;3;Continentale;8;7
4;1794;Vallée de la Sarre, de l'Albe et de l'Isch, le marais du Francaltroff, Bas-Rhin;517;7.02;48.95;235;7;Continentale;8;5
5;1844;Mines de Mairelles, de Château Lambert, réseau Jean Antoine, secteur le Thillot;6;6.77;47.85;690;1;Continentale;4;4
6;1845;Gîtes à chiroptères de la Colline inspirée - Erablières, pelouses, église et château de Vandeleville;34;5.99;48.42;360;13;Continentale;2;2
7;1849;Forêt domaniale de Gérardmer ouest (La Morte Femme, Faignes de Noir Rupt);1011;6.8;48.06;805;3;Continentale;4;4
8;1892;Crêtes des Vosges mosellanes;1583;7.24;48.58;765.5;6;Continentale;5;4
9;1899;Gîtes à chauves-souris autour de Saint-Dié;0.04;6.96;48.31;500;5;Continentale;3;3
10;1900;Carrières du Perthois : gîtes à chauves-souris;0.13;5.14;48.6;275;5;Continentale;5;5
11;1905;Massif de Vologne;598;6.84;48.1;743;3;Continentale;2;2
12;1906;Massif de Haute Meurthe, défilé de Straiture;959;6.98;48.11;877.5;1;Continentale;6;5
13;1907;Massif de Saint Maurice et Bussang;686;6.87;47.86;940;3;Continentale;7;7
14;1908;Hêtraie sapinière de Bousson et Grandcheneau;1049;7.01;48.51;490.5;2;Continentale;1;1
16;1909;Massif forestier de Longegoutte;356;6.7;47.95;875;2;Continentale;5;4
17;1910;Chaumes du Hohneck, Kastelberg, Rainkopf, et Charlemagne;210;7;48.03;1256.5;2;Continentale;8;7
18;1911;Secteur du Tanet Gazon du Faing;538;7.05;48.09;1208;2;Continentale;7;6
19;1912;Tourbière de Lispach;11;6.94;48.05;1000;1;Continentale;3;3
20;1914;Etang et tourbière de la Demoiselle;15;6.54;48;545;1;Continentale;5;4
21;1916;Tourbière du Champâtre;17;6.79;48;1010;1;Continentale;3;3
22;1917;Tourbière de Jemnaufaing;10;6.82;48;1010;1;Continentale;3;3
23;1918;Tourbière de la Bouyère;3;6.73;48.14;700;1;Continentale;1;1
24;1970;Coteaux de la Dronne;272;0.52;45.29;120;5;Atlantique;0;0
25;5752;Marais Poitevin;20323;-1.08;46.25;20;102;Atlantique;4;7
27;2137;Ruisseaux de Vaux-la-Douce et des Bruyères;6;5.73;47.85;260;7;Continentale;0;0
28;2173;Massif forestier de Saint-Gobain;434;3.41;49.55;133;9;Atlantique;3;2
29;2441;Gorges de l'Hérault;21736;3.56;43.77;440;27;Méditerranéenne;9;7
30;2478;Causse de Campestre et Luc;3624;3.4;43.94;745.5;2;Méditerranéenne;3;2
31;2479;Causse de Blandas;7913;3.53;43.91;747.5;9;Méditerranéenne;3;2
32;2489;Massif du Canigou;11746;2.35;42.46;1605.5;11;Alpine;6;4
33;2496;Grotte de la Ratapanade;44.86;2.94;43.17;76.5;1;Méditerranéenne;0;0
34;2501;Conque de la Preste;8436;2.42;42.41;1600;1;Alpine;10;9
35;2513;Grotte de la Valette;115;2.3;43;554.5;1;Méditerranéenne;2;2
36;2555;Côteaux de Château-Jaloux;6;3.1;46.09;410;2;Continentale;3;2
37;2781;Chaos ruiniforme du Rajal Del Gorp;106;3.11;44.05;806.5;1;Méditerranéenne;0;0
38;2782;Liset de Hount Blanque;4059;0.16;42.95;1896;3;Alpine;0;0
39;2784;Gorges du Tarn;489;3.21;44.21;625;4;Méditerranéenne;0;0
41;6632;Gorges de la Jonte;2.73;3.37;44.2;880;3;Méditerranéenne;0;4
43;2786;Gorges de la Dourbie;7087;3.28;44.06;605;6;Méditerranéenne;0;0
44;2787;Gorges de Trevezel;396;3.32;44.06;690;1;Méditerranéenne;0;0
45;2793;Cirque et grotte du Boundoulaou;223;3.04;44.07;565;1;Méditerranéenne;6;4
46;2795;Serre de Cougouille;169;3.13;43.96;885;1;Méditerranéenne;3;0
47;2796;Cirques de Saint-Paul-des-Fonts et de Tournemire;676;3.04;43.95;675;5;Méditerranéenne;4;2
48;2797;Plateau et corniches du Guilhaumard;3744;3.18;43.85;707;4;Méditerranéenne;3;1
49;2801;Causse Noir et ses corniches;13990;3.23;44.16;765;9;Méditerranéenne;14;10
50;2802;Vallée du Riberot et massif du Mont Valier;7745;1.06;42.81;1900;3;Alpine;4;2
